value_norm__longest_strike_below_mean,3.239236602438905e-06,"[7.905315696398935e-09, 5.291960981055519e-07, 7.79151818854014e-06, 9.875558891634291e-07, 1.0841400079743514e-08, 4.410327432718714e-07, 5.592271590732875e-08, 2.376967479370911e-06, 1.975755011063369e-05, 4.338760836199917e-07]"
"value_norm__fft_coefficient__attr_""real""__coeff_3",8.202162095583531e-06,"[8.935813360099239e-09, 5.909016801761945e-07, 1.5589865546643177e-05, 6.915870390805111e-07, 1.2151198970099237e-08, 5.428196831676703e-07, 2.146761307675084e-07, 1.335285595581468e-05, 5.043468445446453e-05, 5.831434533908341e-07]"
"value_norm__fft_coefficient__attr_""angle""__coeff_4",2.662856896572521e-05,"[9.902779995480823e-09, 7.869608789640986e-07, 5.764704476527873e-05, 3.4165344168226034e-06, 5.985440004465561e-08, 2.508592352570316e-06, 2.3405972114162059e-07, 2.598361429867667e-05, 0.00017288550099736277, 2.7536250463951745e-06]"
"value_norm__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",5.851042543617283e-07,"[1.0971149651663902e-08, 2.993021422724955e-07, 8.149471590910561e-07, 8.299367926354931e-07, 2.722379847840324e-08, 3.6512071877245735e-07, 5.202218844781182e-08, 7.541279586305813e-07, 2.450374605926336e-06, 2.470160297109837e-07]"
"value_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",9.652782229392408e-07,"[1.3454207714759519e-08, 5.367195952029879e-07, 1.3137265782324327e-06, 1.1908387391191978e-06, 4.046174051669525e-08, 5.988711093725121e-07, 9.749140947934081e-08, 1.2464573196048428e-06, 4.175553813908253e-06, 4.392077162413868e-07]"
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.00010673574667785597,"[1.3454207714759519e-08, 8.652549323120058e-07, 0.00019586011439017267, 6.310287017288261e-07, 1.6479810047940716e-08, 7.281766237957261e-07, 2.2914051595176968e-05, 0.0002338816701865802, 0.00061174391347022, 7.03322860810788e-07]"
"value_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",1.7165607803590393e-06,"[2.2291217568914037e-08, 1.044945404092039e-06, 1.9430426113546565e-06, 1.7003741581757531e-06, 5.985440004465561e-08, 9.737821886029776e-07, 2.146761307675084e-07, 2.2136620333775005e-06, 8.1457882279249e-06, 8.471914316814886e-07]"
"value_norm__fft_coefficient__attr_""imag""__coeff_2",5.972392643620318e-06,"[2.2291217568914037e-08, 2.0016144326109368e-06, 9.42534243839488e-06, 1.302339404382956e-06, 2.722379847840324e-08, 1.7252318156519633e-06, 3.910975319916871e-07, 7.259365144796827e-06, 3.596052533759607e-05, 1.6088953147305468e-06]"
value_norm__index_mass_quantile__q_0.4,4.48808608630708e-05,"[2.4025678630020588e-08, 3.1092765781450535e-06, 0.00010278721242311861, 8.977457269739466e-07, 1.3229100051482491e-08, 2.5854233155337737e-06, 8.636571964729085e-06, 0.0001012054215121742, 0.0002270596409131105, 2.490061418241309e-06]"
"value_norm__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",2.2977567756698703e-06,"[3.0072144867236866e-08, 1.3833670839224118e-06, 2.268569401274725e-06, 2.028136541948033e-06, 8.003757326910626e-08, 1.1799374009172262e-06, 3.592518052163797e-07, 2.8203878511321725e-06, 1.1710465404175723e-05, 1.1173425499756883e-06]"
"value_norm__fft_coefficient__attr_""real""__coeff_4",9.443094317822713e-07,"[3.320872941908288e-08, 2.193468921867996e-06, 4.2544914073533857e-07, 7.577259106322557e-07, 3.0072144867236866e-08, 1.0721009152916785e-06, 3.592518052163797e-07, 1.5968314431324738e-06, 1.2139485397706138e-06, 1.7610367668896573e-06]"
value_norm__index_mass_quantile__q_0.3,6.614362008299172e-05,"[3.596247935572154e-08, 4.0606392379932084e-06, 0.00014666074117198783, 1.0277475783698662e-06, 2.0793093719198787e-08, 3.9143066176451085e-06, 2.02771522590137e-05, 0.00012421921413806593, 0.00035797703209154187, 3.2426121622248347e-06]"
"value_norm__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",3.755468799135446e-06,"[4.46425553892601e-08, 2.4029168363711224e-06, 3.0835864871367753e-06, 2.6359401493963236e-06, 1.1742782042117199e-07, 2.081801733427476e-06, 7.037618274775964e-07, 3.8813655726073614e-06, 2.067629152645882e-05, 1.9269534826685554e-06]"
"value_norm__fft_coefficient__attr_""angle""__coeff_1",1.4375056869744064e-05,"[5.985440004465561e-08, 3.4492953197880005e-06, 1.9273853122311107e-05, 1.7003741581757531e-06, 5.429686896954966e-08, 3.3097075023450653e-06, 3.523075548516648e-06, 1.2384688994813248e-05, 9.74756986521826e-05, 2.5197241302940228e-06]"
"value_norm__fft_coefficient__attr_""imag""__coeff_3",4.622092479744159e-06,"[5.985440004465561e-08, 1.2602794104033875e-06, 7.570023525453139e-06, 1.0885526827329426e-06, 8.003757326910626e-08, 1.0721009152916785e-06, 2.1961002367289765e-06, 2.602294474264459e-06, 2.9272489364854202e-05, 1.0191922143990462e-06]"
"value_norm__fft_coefficient__attr_""real""__coeff_2",6.560122552196906e-05,"[8.003757326910626e-08, 6.995545818138107e-06, 8.018894907653658e-05, 7.318404368811969e-06, 1.2914314600462894e-07, 3.9744650445287074e-06, 1.1889628069860715e-05, 2.598361429867667e-05, 0.0005139143020328554, 5.538165791008626e-06]"
"value_norm__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",4.787533658645444e-06,"[8.812610447193973e-08, 4.5078124636568455e-06, 3.5899697414802814e-06, 3.7228197221932115e-06, 1.7147760507310314e-07, 3.3097075023450653e-06, 1.1530711128273789e-06, 4.546136098800327e-06, 2.377793148661033e-05, 3.0082847489959526e-06]"
"value_norm__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",5.580063902434066e-06,"[1.1742782042117199e-07, 5.873670473821395e-06, 4.175553813908253e-06, 4.416200549227924e-06, 1.7147760507310314e-07, 3.627514726058853e-06, 1.594507526857493e-06, 4.918146601469939e-06, 2.7319115414505424e-05, 3.587024492997101e-06]"
"value_norm__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",6.992699836488566e-06,"[1.2914314600462894e-07, 5.873670473821395e-06, 7.570023525453139e-06, 3.4165344168226034e-06, 1.419855678870517e-07, 3.9744650445287074e-06, 3.808487613945817e-06, 7.84113007205707e-06, 3.358453401136815e-05, 3.587024492997101e-06]"
"value_norm__fft_coefficient__attr_""real""__coeff_1",1.974696885348901e-05,"[1.2914314600462894e-07, 4.124433063674461e-06, 4.4083282721499625e-05, 2.4161365679521525e-06, 9.700354971451572e-08, 5.216595067207804e-06, 8.824967797764823e-06, 1.9378797431909327e-05, 0.00011089436870170424, 2.304960487458526e-06]"
"value_norm__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",7.030448317193489e-06,"[1.2914314600462894e-07, 5.873670473821395e-06, 5.6328386055701335e-06, 3.7228197221932115e-06, 1.419855678870517e-07, 3.9744650445287074e-06, 2.027959465140861e-06, 6.7190136250892e-06, 3.84955630287026e-05, 3.587024492997101e-06]"
"value_norm__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",9.459057808510861e-06,"[1.560592604897945e-07, 6.995545818138107e-06, 1.2583308773510147e-05, 4.055331159224116e-06, 1.7147760507310314e-07, 4.766148986292702e-06, 7.0385346766798e-06, 1.335285595581468e-05, 4.1199628479111347e-05, 4.271687370774821e-06]"
"value_norm__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",8.73369185629456e-06,"[1.560592604897945e-07, 6.995545818138107e-06, 1.0895595867079248e-05, 4.055331159224116e-06, 1.7147760507310314e-07, 4.766148986292702e-06, 6.045775153572592e-06, 1.1483734313598519e-05, 3.84955630287026e-05, 4.271687370774821e-06]"
"value_norm__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",7.3569138628978315e-06,"[1.560592604897945e-07, 6.995545818138107e-06, 8.1457882279249e-06, 4.416200549227924e-06, 1.883639630693269e-07, 4.766148986292702e-06, 4.8038736466687336e-06, 8.467312680531481e-06, 3.135815812586052e-05, 4.271687370774821e-06]"
"value_norm__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",1.0244983829499602e-05,"[1.7147760507310314e-07, 7.630668606261066e-06, 1.5589865546643177e-05, 4.416200549227924e-06, 1.883639630693269e-07, 4.766148986292702e-06, 7.591619922191232e-06, 1.335285595581468e-05, 4.4083282721499625e-05, 4.659354438923184e-06]"
value_norm__index_mass_quantile__q_0.2,4.591261043471335e-05,"[1.7526011174741332e-07, 1.0575318597001218e-05, 0.00010646308672458597, 2.1782469048289577e-06, 9.46619956361075e-08, 7.650676412301804e-06, 3.2147371577146936e-05, 4.565431623228944e-05, 0.0002487361784506841, 5.450987340911503e-06]"
"value_norm__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",1.0928625847017798e-05,"[1.883639630693269e-07, 7.630668606261066e-06, 1.6736068016419466e-05, 4.055331159224116e-06, 1.883639630693269e-07, 4.766148986292702e-06, 9.511294979351776e-06, 1.4392967406940614e-05, 4.7157696950626405e-05, 4.659354438923184e-06]"
"value_norm__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",1.2596922579549e-05,"[2.068525106476932e-07, 7.630668606261066e-06, 1.9273853122311107e-05, 3.7228197221932115e-06, 2.068525106476932e-07, 5.707641960994878e-06, 1.1889628069860715e-05, 2.0861187822875812e-05, 5.043468445446453e-05, 6.035037015233297e-06]"
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",4.491071218262136e-05,"[1.537749413627541e-05, 6.0203457766810826e-05, 5.764704476527873e-05, 9.382591501339204e-06, 5.84341811825795e-06, 3.785677907096988e-05, 0.00011943905028936258, 3.3103462121317355e-06, 0.00012604233974756438, 1.4004600218222922e-05]"
value_norm__index_mass_quantile__q_0.1,0.00016875000067059616,"[1.7001427106829384e-05, 8.363653140523829e-05, 0.00030821916364437386, 2.1898306286092063e-06, 4.040566166142857e-07, 4.386541044127771e-05, 0.000318224598252608, 0.0004375804502087034, 0.0004286093786450419, 4.776915975666539e-05]"
