Feature,Mean P Value,P Values,Num_Relevant(10)
value_norm__absolute_sum_of_changes,0.0001008873497302,[0.00010088734973027149],1
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",0.0001202325094414,"[2.668401877556935e-05, 0.0005399196393249449, 3.335836032215016e-05, 0.0001204390080601888, 6.310287017288261e-07, 3.6300146410841643e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.0002382476430635,"[0.0002286621450337301, 0.0007262524060905059, 0.00023367969434613835, 1.302339404382956e-06, 1.3416304428621445e-06]",5
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",5.526941204399586e-05,"[1.657687876765148e-05, 9.396194532034025e-05]",2
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",0.0002085517223471,"[0.0003014996500110326, 1.1190041250809293e-05, 0.0003129654757795583]",3
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.0002395026860357,"[9.692791226094791e-05, 0.0007262524060905059, 0.00010095720824331398, 0.0005116038591274505, 6.915870390805111e-07, 5.831434533908341e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.0001619763072818,"[4.9497008583418844e-05, 0.0006083473246832255, 6.0703226418319035e-05, 0.0002522954787694644, 5.755975201564828e-07, 4.392077162413868e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.0002404563409034,"[0.00012965177579435562, 0.0006083473246832255, 0.000116448238275774, 0.0005870159761747196, 6.915870390805111e-07, 5.831434533908341e-07]",6
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",5.751118725026476e-05,"[2.106042918018927e-05, 9.396194532034025e-05]",2
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.0001332499447607,"[5.339876905066679e-05, 0.0004787191220368496, 4.860156088872589e-05, 0.00021817869319086934, 3.294234098714622e-07, 2.7209998781536314e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.0002661995347867,"[0.00010428614912958152, 0.0007700525491957095, 0.00013416174658013267, 0.0005870159761747196, 9.087522771002087e-07, 7.720353630384669e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",1.0900644571488089e-05,"[7.145366682850652e-06, 1.4110318770633749e-05, 1.0327684027722908e-05, 8.320707985019014e-06, 1.7003741581757531e-06, 4.659354438923184e-06, 3.0040705937091366e-05]",7
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",6.204425470647228e-05,"[3.383915272540499e-05, 1.9451075012243494e-05, 4.115990199385775e-06, 3.856621636895234e-06, 7.608191489038976e-05, 0.00020839526077966303, 3.6180953174684756e-07, 3.9935425517717797e-07, 0.00024944351902209024, 2.449784901172631e-05]",10
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",0.0001860325764307,"[6.692744325834894e-05, 0.0006847760486521223, 4.860156088872589e-05, 0.0003129654757795583, 1.7003741581757531e-06, 1.2245558477536288e-06]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",0.000308336168703,"[0.00018525194841127166, 0.00042679108191835615, 0.0003129654757795583]",3
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.0001533067055211,"[6.209317167155153e-05, 0.0004787191220368496, 6.533535263170976e-05, 0.0003129654757795583, 3.9725825245671636e-07, 3.2985275495489327e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.000227304179351,"[9.692791226094791e-05, 0.000645510408625346, 0.00010844202672875589, 0.0005116038591274505, 7.577259106322557e-07, 5.831434533908341e-07]",6
"value_norm__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",9.379620646500843e-06,"[5.164748878186652e-06, 1.0186582759150017e-05, 7.471810850027301e-06, 4.92520027768095e-06, 9.087522771002087e-07, 2.304960487458526e-06, 3.469528899590225e-05]",7
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",0.0001226117170334,"[3.371753862717348e-05, 0.0005084616542428988, 4.184548860444286e-05, 0.00015086750812133305, 4.784769392129079e-07, 2.996356658103692e-07]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.0003385526982852,"[0.00018525194841127166, 0.0007262524060905059, 0.00017746890602221647, 0.0009402351842906093, 1.0885526827329426e-06, 1.0191922143990462e-06]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",0.0002496306001742,"[2.6359401493963236e-06, 2.6523444730052223e-05, 0.000719732415643213]",3
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.0003476164437529,"[1.4110318770633749e-05, 0.0005084616542428988, 2.319949743478413e-06, 2.9306023803392868e-05, 0.0007643871287350743, 0.0007671135872224445]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.0002395026860357,"[9.692791226094791e-05, 0.0007262524060905059, 0.00010095720824331398, 0.0005116038591274505, 6.915870390805111e-07, 5.831434533908341e-07]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",0.0009780211600922,[0.000978021160092201],1
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.0001560928179012,"[4.9497008583418844e-05, 0.0005731833624416958, 6.0703226418319035e-05, 0.0002522954787694644, 4.784769392129079e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",0.000231754722941,"[0.0001206122418089026, 0.0005731833624416958, 0.00010844202672875589, 0.0005870159761747196, 6.915870390805111e-07, 5.831434533908341e-07]",6
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",0.0003250677827042,"[4.055331159224116e-06, 3.091283266303571e-05, 0.0009402351842906093]",3
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",0.0001781096053745,"[0.00016437952393988863, 0.00016075299806431707, 0.00015510509943891487, 8.742619623996037e-05, 0.0005870159761747196, 2.998446231450428e-07, 3.2985275495489327e-07, 0.00026956735176082594]",8
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",0.0001740356158052,"[6.692744325834894e-05, 0.0005399196393249449, 7.562150763205433e-05, 0.0003607302993798173, 5.755975201564828e-07, 4.392077162413868e-07]",6
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",4.2915133368984434e-05,"[1.657687876765148e-05, 6.533535263170976e-05, 0.0001204390080601888, 7.952740014597297e-06, 4.271687370774821e-06]",5
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",2.911298714438301e-05,[2.9112987144383012e-05],1
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",4.29693845594755e-05,"[3.402285213701138e-08, 0.00024513870521204707, 2.027959465140861e-06, 9.396194532034025e-05, 1.796230840622168e-05, 1.5562161689822726e-06, 1.2245558477536288e-06, 2.415601950870785e-05, 6.627282539488839e-07]",9
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",0.0003379942264323,"[0.0006716511859048485, 7.562150763205433e-05, 0.00021322931832229135, 0.00039147489387035816]",4
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",0.0001571943252205,"[6.209317167155153e-05, 0.0002522954787694644]",2
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",0.0002439809723576,"[0.0005772343504654172, 0.00011216933002352663, 0.0003752364998274091, 9.396194532034025e-05, 0.0005481029162495966, 6.310287017288261e-07, 5.30735915582563e-07]",7
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",0.0001413076748186,"[3.934935242757246e-05, 0.0004787191220368496, 7.562150763205433e-05, 0.0002522954787694644, 1.0885526827329426e-06, 7.720353630384669e-07]",6
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",2.6992108204602317e-05,[2.6992108204602313e-05],1
value_norm__approximate_entropy__m_2__r_0.7,0.0001534352549714,[0.000153435254971436],1
value_norm__approximate_entropy__m_2__r_0.9,0.0005772343504654,[0.0005772343504654172],1
value_norm__ar_coefficient__coeff_10__k_10,0.0005883178024852,[0.0005883178024852509],1
value_norm__ar_coefficient__coeff_1__k_10,3.302999584490257e-05,"[1.0186582759150017e-05, 1.1742782042117199e-07, 8.878597695513654e-05]",3
value_norm__ar_coefficient__coeff_2__k_10,0.0001521365810488,"[7.211640642041245e-05, 2.492324253669092e-07, 0.00021817869319086934, 0.00031800199215885377]",4
value_norm__ar_coefficient__coeff_5__k_10,0.0003884321542644,"[0.0003014996500110326, 9.396194532034025e-05, 0.000769834867461944]",3
value_norm__ar_coefficient__coeff_7__k_10,0.0005013182425659,"[0.0005536718398316766, 0.00044896464530024157]",2
value_norm__autocorrelation__lag_8,0.0006549926611961,[0.0006549926611961259],1
value_norm__autocorrelation__lag_9,0.0005772343504654,[0.0005772343504654172],1
value_norm__binned_entropy__max_bins_10,0.0002337542188807,"[2.4161365679521525e-06, 0.00013617610041477958, 2.1034070906828422e-05, 0.00012987284750826472, 0.0004524190019427516, 0.0004805782252084892, 0.000413783149616064]",7
value_norm__c3__lag_1,5.339876905066679e-05,[5.339876905066679e-05],1
value_norm__c3__lag_2,5.339876905066679e-05,[5.339876905066679e-05],1
value_norm__c3__lag_3,6.692744325834894e-05,[6.692744325834894e-05],1
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",6.692744325834894e-05,[6.692744325834894e-05],1
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0001728020722902,"[2.2139885475309257e-06, 3.881142400552561e-05, 0.000477380804317654]",3
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.0002020621745466,"[1.7003741581757531e-06, 5.638323323229946e-05, 0.0005481029162495966]",3
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.0001086390683523,"[1.1908387391191978e-06, 3.335836032215016e-05, 0.0002913680059958147]",3
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.0001008873497302,[0.00010088734973027149],1
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.000236151965478,"[1.3012383576306868e-05, 0.00025014067026243734, 0.00044530284259534925]",3
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",0.0007166266725,[0.0007166266725000458],1
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.0001008873497302,[0.00010088734973027149],1
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.0001643795239398,[0.00016437952393988863],1
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.0001431795842271,[0.0001431795842271818],1
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.0001431795842271,[0.0001431795842271818],1
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.0005890269210974,"[0.00034434169037518943, 0.0001725940834516743, 0.0012501449894653535]",3
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.0002159353832656,[0.00021593538326562025],1
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.0002017840430974,[0.0002017840430974191],1
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.0001760551842738,[0.0001760551842738367],1
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",5.678479595834593e-05,[5.678479595834593e-05],1
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0001676694013682,"[3.383915272540499e-05, 0.0003014996500110326]",2
value_norm__cid_ce__normalize_False,0.0001008873497302,[0.00010088734973027149],1
value_norm__cid_ce__normalize_True,0.0001008873497302,[0.00010088734973027149],1
"value_norm__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",5.692615249470824e-05,"[5.759076692245681e-05, 2.1324344570707244e-05, 8.789555030540264e-06, 0.00013999994345512866]",4
"value_norm__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",1.386800424848958e-06,"[7.74391803160789e-06, 1.546509899245518e-08, 2.075732388546212e-08, 1.2914314600462894e-07, 2.993021422724955e-07, 7.519789698176738e-07, 6.915870390805111e-07, 6.405221415762538e-07, 9.706729673020178e-07, 2.6046573879501934e-06]",10
"value_norm__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.0001901883232027,[0.0001901883232027629],1
"value_norm__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",1.8689767187764055e-05,"[7.585946580075988e-05, 2.0518070920731496e-07, 1.4709489192785064e-06, 8.891122050844713e-07, 7.630668606261066e-06, 2.9272489364854202e-05, 1.7003741581757531e-06, 5.831434533908341e-07, 4.9511207103888246e-05, 1.9775081556740314e-05]",10
"value_norm__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.0001479246679421,[0.0001479246679421513],1
"value_norm__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",0.0002863767162501,[0.0002863767162501853],1
"value_norm__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",2.07477305958006e-05,"[8.149844045033748e-05, 2.0518070920731496e-07, 1.594507526857493e-06, 8.891122050844713e-07, 7.630668606261066e-06, 3.358453401136815e-05, 1.7003741581757531e-06, 5.831434533908341e-07, 5.697577396175735e-05, 2.2815570875566082e-05]",10
"value_norm__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",7.019860678752308e-05,[7.019860678752308e-05],1
"value_norm__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",0.0003500542606668,[0.0003500542606668332],1
"value_norm__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",2.33319950831074e-05,"[0.00010088734973027149, 2.256968800207933e-07, 2.027959465140861e-06, 8.891122050844713e-07, 8.320707985019014e-06, 3.596052533759607e-05, 2.028136541948033e-06, 6.405221415762538e-07, 6.109634003766307e-05, 2.1243600506753894e-05]",10
"value_norm__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",0.0003690893673695,"[0.0005416631136245149, 0.00045568058452084327, 0.0004805782252084892, 4.298010871816262e-05, 0.0003245448047756943]",5
"value_norm__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",0.0010403658202746,[0.0010403658202746441],1
"value_norm__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",0.0005536718398316,[0.0005536718398316766],1
"value_norm__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",2.48639736380774e-05,"[9.398590420380336e-05, 2.481886054002515e-07, 2.1961002367289765e-06, 1.0612801158999343e-06, 8.320707985019014e-06, 4.4083282721499625e-05, 1.7003741581757531e-06, 5.831434533908341e-07, 7.521715439410237e-05, 2.1243600506753894e-05]",10
"value_norm__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",0.0002304016964291,"[0.0002017840430974191, 0.0003740699401396637, 0.0001801990516901963, 0.0001580511830046009, 0.0002379042642136753]",5
"value_norm__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",0.0004217122491804,"[0.00020376087370776788, 0.0010043910559796923, 0.0003228389975026195, 0.00015585806953176794]",4
"value_norm__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.0009780211600922,[0.000978021160092201],1
"value_norm__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",2.8412665313233557e-05,"[9.398590420380336e-05, 2.7283834121940214e-07, 2.5734222679671848e-06, 1.3809819142665687e-06, 8.320707985019014e-06, 5.764704476527873e-05, 2.2139885475309257e-06, 8.471914316814886e-07, 9.238672466384252e-05, 2.449784901172631e-05]",10
"value_norm__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",0.0002142691396309,"[0.0001245742516595212, 0.0001901883232027629, 9.286968004357242e-05, 0.00044029885268549864, 0.0002234145905632116]",5
"value_norm__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",0.0003321536405807,"[0.00034434169037518943, 0.0005519794655911146, 0.00010844202672875589, 0.000769834867461944, 0.0003014996500110326, 3.990840965520098e-05, 0.0003887648295898766, 0.0001524581852331187]",8
"value_norm__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.0002961918792753,"[0.00034558564302320167, 0.00027522245558933166, 5.235555936148062e-05, 0.0005116038591274505]",4
"value_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",2.171094630163661e-06,"[1.1529163798044634e-05, 2.106191478588663e-08, 3.613268768320849e-08, 1.883639630693269e-07, 4.873437425188896e-07, 1.5374645251861394e-06, 8.299367926354931e-07, 7.720353630384669e-07, 1.4706594891375597e-06, 4.8387840255370055e-06]",10
"value_norm__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.0007354498815247,"[0.0011187543600347162, 0.0007700525491957095, 4.860156088872589e-05, 0.0010043910559796923]",4
"value_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",3.6933035181881206e-06,"[1.8414058494394634e-05, 3.502739692734666e-08, 8.91922881838259e-08, 2.492324253669092e-07, 9.510227194631089e-07, 3.5899697414802814e-06, 1.0885526827329426e-06, 8.471914316814886e-07, 2.8203878511321725e-06, 8.848400150518497e-06]",10
"value_norm__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",5.638323323229946e-05,[5.638323323229946e-05],1
