Feature,Mean P Value,P Values,Num_Relevant(10)
"value_norm__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",4.489977539322874e-06,"[2.1475934365666632e-05, 4.73538867041505e-08, 1.1638992368373868e-07, 3.289008457006781e-07, 1.3833670839224118e-06, 4.175553813908253e-06, 1.1908387391191978e-06, 9.293682814476253e-07, 4.201168831060107e-06, 1.1050899622015945e-05]",10
"value_norm__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",0.0001084420267287,[0.00010844202672875589],1
"value_norm__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",5.81165800173088e-06,"[2.501867998591066e-05, 7.779290727309787e-08, 1.8045515618029323e-07, 4.3289222622861343e-07, 2.193468921867996e-06, 7.0332932998785794e-06, 1.302339404382956e-06, 8.471914316814886e-07, 7.259365144796827e-06, 1.3771101539108287e-05]",10
"value_norm__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",0.0001250095716378,[0.00012500957163784143],1
"value_norm__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",7.019631127713237e-06,"[2.501867998591066e-05, 1.397180363480912e-07, 2.551291565103575e-07, 6.802893146167151e-07, 4.5078124636568455e-06, 1.0895595867079248e-05, 1.5562161689822726e-06, 8.471914316814886e-07, 1.1483734313598519e-05, 1.4811944538748167e-05]",10
"value_norm__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",0.0001341617465801,[0.00013416174658013267],1
"value_norm__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",8.386850324516753e-06,"[3.139166237281396e-05, 1.6941822804346155e-07, 3.2991603300117514e-07, 7.440035761679696e-07, 5.873670473821395e-06, 1.3518020648304098e-05, 1.857320740745866e-06, 7.03322860810788e-07, 1.5510066772350523e-05, 1.3771101539108287e-05]",10
"value_norm__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",0.0001543920849773,[0.00015439208497730663],1
"value_norm__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",1.1255476703631982e-05,"[3.928826187061628e-05, 1.864724718499645e-07, 5.957650292745299e-07, 7.440035761679696e-07, 6.4111698064638095e-06, 2.2175554094555466e-05, 1.7003741581757531e-06, 6.405221415762538e-07, 1.7997073012073733e-05, 2.2815570875566082e-05]",10
"value_norm__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",0.0001384113517313,[0.00013841135173131065],1
"value_norm__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",0.0001655526036275,[0.0001655526036275944],1
"value_norm__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",1.384278014491021e-05,"[4.904682295233237e-05, 1.864724718499645e-07, 1.0626510371165079e-06, 7.440035761679696e-07, 6.4111698064638095e-06, 2.549009456693062e-05, 1.4238464645532794e-06, 5.30735915582563e-07, 3.22884041513511e-05, 2.1243600506753894e-05]",10
"value_norm__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",4.6136186050955126e-05,[4.6136186050955126e-05],1
"value_norm__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.0001774689060222,[0.00017746890602221647],1
"value_norm__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",1.5252893077089677e-05,"[5.678479595834593e-05, 2.0518070920731496e-07, 1.1530711128273789e-06, 8.891122050844713e-07, 7.630668606261066e-06, 2.377793148661033e-05, 1.7003741581757531e-06, 5.831434533908341e-07, 4.002957152425334e-05, 1.9775081556740314e-05]",10
"value_norm__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",0.0003918327231177,"[0.0006847760486521223, 9.88893975834441e-05]",2
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_1,1.7659048762468244e-05,"[2.106191478588663e-08, 1.3779871171692918e-05, 2.2708913902815485e-07, 7.15513843351725e-07, 2.028136541948033e-06, 1.0191922143990462e-06, 0.00010582247651207195]",7
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_2,5.3253912814242535e-05,"[5.6927926051291184e-06, 7.488934922473457e-05, 8.891122050844713e-07, 3.7364609955923535e-05, 3.9725825245671636e-07, 2.7209998781536314e-07, 0.00025327216746855397]",7
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_3,6.59946621794384e-05,"[3.874273397907018e-08, 0.00035285351343572165, 1.3809819142665687e-06, 4.124433063674461e-06, 2.106042918018927e-05, 1.6509872748799388e-05]",6
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.0002221330170502,"[3.1658642591296486e-08, 2.068525106476932e-07, 5.367195952029879e-07, 0.0006293116292942724, 0.0004805782252084892]",5
"value_norm__fft_coefficient__attr_""abs""__coeff_10",1.129539546975611e-05,"[1.3471904327583268e-06, 2.1243600506753894e-05]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_11",6.210763775594892e-05,"[3.146963979542481e-06, 5.764704476527873e-05, 0.00012552890452302554]",3
"value_norm__fft_coefficient__attr_""abs""__coeff_12",0.0001008873497302,[0.00010088734973027149],1
"value_norm__fft_coefficient__attr_""abs""__coeff_5",0.0002814868459936,[0.0002814868459936689],1
"value_norm__fft_coefficient__attr_""abs""__coeff_6",9.603765278947044e-05,"[2.028136541948033e-06, 0.0003989412851297698, 1.6435848518162952e-06, 7.15513843351725e-07, 0.00010428614912958152, 6.86112472403552e-05]",6
"value_norm__fft_coefficient__attr_""abs""__coeff_7",1.592754016234742e-05,[1.592754016234742e-05],1
"value_norm__fft_coefficient__attr_""abs""__coeff_8",0.0002244322066584,"[0.00041882370737971386, 3.0040705937091366e-05]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_9",0.0003091341113426,"[2.0663475383518243e-06, 0.0008688965045777253, 5.64394819118591e-05]",3
"value_norm__fft_coefficient__attr_""angle""__coeff_1",3.195036525531027e-05,"[9.398590420380336e-05, 1.0439854321139711e-07, 6.475972554161687e-07, 5.19142793923418e-07, 4.124433063674461e-06, 0.00011823981190300548, 1.302339404382956e-06, 7.03322860810788e-07, 5.697577396175735e-05, 4.2900928563117333e-05]",10
"value_norm__fft_coefficient__attr_""angle""__coeff_2",3.483477538541171e-05,[3.483477538541171e-05],1
"value_norm__fft_coefficient__attr_""angle""__coeff_3",0.0004208588862223,"[0.00021322931832229135, 0.0006284884541224486]",2
"value_norm__fft_coefficient__attr_""angle""__coeff_4",7.390707003730725e-05,"[0.0005081427929353942, 1.1324200400627192e-08, 4.256589695084606e-07, 1.0612801158999343e-06, 7.869608789640986e-07, 0.0001431256614195767, 9.382591501339204e-06, 5.080594898472942e-06, 1.0645553062925713e-05, 6.040828239059062e-05]",10
"value_norm__fft_coefficient__attr_""angle""__coeff_5",0.0002126780762788,"[1.9451075012243494e-05, 0.0003317241200745769, 0.00025014067026243734, 0.0005116038591274505, 0.00010428614912958152, 5.8862584066539226e-05]",6
"value_norm__fft_coefficient__attr_""angle""__coeff_8",0.0002695673517608,[0.00026956735176082594],1
"value_norm__fft_coefficient__attr_""angle""__coeff_9",0.0002627588284606,"[4.5563499007653114e-05, 0.0009259818247019381, 1.0248437665756661e-05, 8.018894907653658e-05, 0.0005142583335094868, 3.1192680241211875e-07]",6
"value_norm__fft_coefficient__attr_""imag""__coeff_1",0.0001881237861886,"[0.00019877866635511, 0.00017746890602221647]",2
"value_norm__fft_coefficient__attr_""imag""__coeff_10",6.464036112750098e-05,[6.464036112750098e-05],1
"value_norm__fft_coefficient__attr_""imag""__coeff_12",7.396051515819355e-05,[7.396051515819355e-05],1
"value_norm__fft_coefficient__attr_""imag""__coeff_2",1.2727603322297312e-05,"[4.5563499007653114e-05, 3.502739692734666e-08, 2.146761307675084e-07, 4.3289222622861343e-07, 2.4029168363711224e-06, 3.358453401136815e-05, 1.7003741581757531e-06, 8.471914316814886e-07, 1.7997073012073733e-05, 2.449784901172631e-05]",10
"value_norm__fft_coefficient__attr_""imag""__coeff_3",1.1227922959972666e-05,"[4.2315654133713495e-05, 1.268233898268285e-07, 4.256589695084606e-07, 1.560592604897945e-07, 1.8259358754515698e-06, 2.067629152645882e-05, 1.5387665068868673e-07, 6.167815294935004e-08, 4.298010871816262e-05, 3.557142922477037e-06]",10
"value_norm__fft_coefficient__attr_""imag""__coeff_4",2.5443503331612326e-06,"[2.106191478588663e-08, 6.802893146167151e-07, 7.869608789640986e-07, 7.318404368811969e-06, 3.915035188627492e-06]",5
"value_norm__fft_coefficient__attr_""imag""__coeff_5",6.818143255248022e-05,"[0.0002278391443129334, 9.529015220997116e-06, 0.0001623726607348501, 1.857320740745866e-06, 3.0082847489959526e-06, 4.48216955635884e-06]",6
"value_norm__fft_coefficient__attr_""imag""__coeff_6",0.000301499650011,[0.0003014996500110326],1
"value_norm__fft_coefficient__attr_""imag""__coeff_7",0.0002009971773617,"[0.00028239660307787716, 2.668401877556935e-05, 4.638940515703704e-05, 0.000672673514380357, 4.501647960674971e-06, 0.00017333787481877097]",6
"value_norm__fft_coefficient__attr_""imag""__coeff_9",0.0006538360286881,"[0.0011908454358952876, 0.0007700525491957095, 6.101009736004564e-07]",3
"value_norm__fft_coefficient__attr_""real""__coeff_1",4.509335004950267e-05,"[0.00010088734973027149, 1.6941822804346155e-07, 1.0626510371165079e-06, 6.218493377375788e-07, 5.873670473821395e-06, 0.00017288550099736277, 9.087522771002087e-07, 4.828845824677323e-07, 9.88893975834441e-05, 6.915202624766157e-05]",10
"value_norm__fft_coefficient__attr_""real""__coeff_10",0.0003645345810112,"[0.0007262524060905059, 2.8167559320099205e-06]",2
"value_norm__fft_coefficient__attr_""real""__coeff_11",9.49077703070007e-05,"[0.0001881955806481972, 1.6199599658042164e-06]",2
"value_norm__fft_coefficient__attr_""real""__coeff_12",1.8414058494394634e-05,[1.8414058494394634e-05],1
"value_norm__fft_coefficient__attr_""real""__coeff_13",0.0005416631136245,[0.0005416631136245149],1
"value_norm__fft_coefficient__attr_""real""__coeff_16",0.0004671972445568,"[0.0008688965045777253, 6.549798453605155e-05]",2
"value_norm__fft_coefficient__attr_""real""__coeff_2",0.0001478361507918,"[0.000697425628817425, 1.6941822804346155e-07, 2.377585149367114e-06, 6.218493377375788e-07, 9.070154975971658e-06, 0.0003604244869987212, 2.2139885475309257e-06, 7.720353630384669e-07, 0.00030215651239722115, 0.00010312984810297097]",10
"value_norm__fft_coefficient__attr_""real""__coeff_25",1.4589013463308344e-05,[1.4589013463308344e-05],1
"value_norm__fft_coefficient__attr_""real""__coeff_26",9.398590420380336e-05,[9.398590420380336e-05],1
"value_norm__fft_coefficient__attr_""real""__coeff_3",2.3567233646373136e-05,"[0.0001335720179941856, 1.0200600379939752e-08, 3.028994214748312e-07, 2.492324253669092e-07, 5.909016801761945e-07, 4.7157696950626405e-05, 2.028136541948033e-06, 1.0191922143990462e-06, 7.84113007205707e-06, 4.2900928563117333e-05]",10
"value_norm__fft_coefficient__attr_""real""__coeff_31",0.0004287471332497,"[0.0008162946380204433, 4.1199628479111347e-05]",2
"value_norm__fft_coefficient__attr_""real""__coeff_4",5.461032703034271e-06,"[2.501867998591066e-05, 7.048378501568877e-08, 3.592518052163797e-07, 2.9994307105063213e-07, 2.4029168363711224e-06, 1.6626489086208848e-06, 2.256968800207933e-07, 1.5157629409330284e-07, 2.415601950870785e-05, 2.631099553354019e-07]",10
"value_norm__fft_coefficient__attr_""real""__coeff_5",0.0001247945112057,"[5.2328542492606573e-08, 3.2593980736687628e-06, 1.5179730515475942e-06, 0.0003956460973835341, 0.0002234967589775752]",5
"value_norm__fft_coefficient__attr_""real""__coeff_8",8.375226430406569e-05,"[0.00010826521494785034, 0.00011216933002352663, 0.00016547323033497293, 3.135815812586052e-05, 1.4953880881179643e-06]",5
"value_norm__fft_coefficient__attr_""real""__coeff_9",0.0004142644948795,[0.0004142644948795967],1
value_norm__first_location_of_maximum,1.7114933448343106e-05,"[3.560307990948639e-07, 5.7743240782116865e-06, 4.5214445467722766e-05]",3
value_norm__first_location_of_minimum,0.0001214298215221,"[6.145436243022691e-07, 9.588901771277844e-05, 8.030097202751352e-06, 2.482198345362072e-05, 0.0004777934656173493]",5
value_norm__fourier_entropy__bins_100,0.0001102685696617,"[3.8708144503993437e-07, 0.0002148529414309568, 0.00011556568610939098]",3
value_norm__fourier_entropy__bins_3,3.4761509440866575e-05,"[1.504047601414318e-06, 3.6671585296259154e-05, 6.610889542492625e-05]",3
value_norm__fourier_entropy__bins_5,0.0001314173522197,"[0.0003985235044100783, 4.591211404049102e-05, 1.999529980988489e-06, 5.038158327582872e-07, 0.0003191096757656492, 5.9897698975877164e-05, 4.825837771253885e-05, 3.0576353596291034e-05, 5.014316273142297e-05, 0.0003592492891513048]",10
value_norm__index_mass_quantile__q_0.1,0.0001247793552372,"[0.00015222762688648527, 1.83900773416594e-05, 0.0002974661454193912, 2.4304300904794936e-05, 9.13759417473089e-05, 1.748651413376672e-06, 1.439414173459976e-06, 0.00041128268401121335]",8
value_norm__index_mass_quantile__q_0.2,0.0001066201116998,"[0.0003881234185740242, 2.6672672115259465e-07, 6.166108789680393e-06, 1.141138023144535e-06, 1.1065390417905277e-05, 1.400579333365544e-06, 8.348745545518326e-07, 0.00034965995919180497, 0.00020092280969260121]",9
value_norm__index_mass_quantile__q_0.3,3.486438392249703e-05,"[8.4038114377074e-08, 2.422206473328959e-05, 6.142468018129333e-07, 3.710619432987579e-06, 3.086470253239951e-06, 2.0818169256596574e-06, 0.0002102514311961124]",7
value_norm__index_mass_quantile__q_0.4,2.150699234346181e-05,"[5.637261926000198e-08, 1.6799008776737037e-05, 6.995392341324316e-07, 3.397882734730495e-06, 3.845226528953734e-06, 2.4939996172914424e-06, 0.00012325691689312756]",7
value_norm__kurtosis,0.0002286621450337,[0.0002286621450337301],1
value_norm__last_location_of_maximum,1.7114933448343106e-05,"[3.560307990948639e-07, 5.7743240782116865e-06, 4.5214445467722766e-05]",3
value_norm__last_location_of_minimum,0.000184095975673,"[5.870999281705575e-07, 0.00014715103410327572, 1.4644019807788216e-05, 4.381357320778037e-05, 0.0007142841513180912]",5
value_norm__lempel_ziv_complexity__bins_10,0.0003557957605661,"[9.65841863347908e-05, 0.0006150073347974593]",2
value_norm__lempel_ziv_complexity__bins_100,0.0002825091280525,"[1.3373479714418144e-06, 1.4992416825552432e-05, 0.00011515641922007332, 0.0008993160368082939, 0.0002673705890468836, 0.00039688195844327]",6
"value_norm__linear_trend__attr_""intercept""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__linear_trend__attr_""pvalue""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__linear_trend__attr_""rvalue""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__linear_trend__attr_""slope""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
"value_norm__linear_trend__attr_""stderr""",0.0001913932312931,"[7.768432865321709e-05, 0.0005731833624416958, 8.132162372884459e-05, 0.0004152458432753091, 5.248754044672241e-07, 3.9935425517717797e-07]",6
value_norm__longest_strike_below_mean,1.2060245678319668e-05,"[8.379480190387184e-05, 8.985463395540252e-09, 1.0921419975838787e-07, 2.0490729664262747e-07, 5.304437580342754e-07, 1.1188678024034053e-05, 1.924666001396045e-06, 1.0586412862524486e-06, 5.4774935788161966e-06, 1.6304625270995264e-05]",10
"value_norm__matrix_profile__feature_""median""__threshold_0.98",0.0004245267878261,[0.0004245267878261368],1
value_norm__maximum,1.908319362953335e-05,"[3.7228197221932115e-06, 4.860156088872589e-05, 4.92520027768095e-06]",3
value_norm__mean_abs_change,0.0001008873497302,[0.00010088734973027149],1
value_norm__number_cwt_peaks__n_1,8.000213708517208e-06,"[4.000170015070557e-07, 7.597120242954176e-07, 2.284091209974915e-05]",3
value_norm__number_cwt_peaks__n_5,0.0002697712212176,"[7.411662253441786e-05, 3.721985996402128e-05, 0.0006979771811546528]",3
value_norm__number_peaks__n_1,1.2546241839097191e-05,[1.2546241839097191e-05],1
value_norm__number_peaks__n_10,0.0003708622439682,"[0.0006682414139815873, 1.3476627885851227e-05, 0.0004308686900372691]",3
value_norm__number_peaks__n_3,0.0010555238134351,[0.001055523813435106],1
value_norm__number_peaks__n_5,0.000320457453581,"[4.934630564450539e-05, 1.714972479232705e-05, 0.0008948763303064166]",3
value_norm__number_peaks__n_50,0.0003770384346722,"[0.0006816809156179509, 3.0349298888285802e-05, 0.00041908508951059797]",3
value_norm__partial_autocorrelation__lag_2,0.0009401542097383,"[0.0005519794655911146, 0.0013283289538855779]",2
value_norm__partial_autocorrelation__lag_3,0.0004862556117313,"[0.0003014996500110326, 0.0006710115734516745]",2
value_norm__percentage_of_reoccurring_datapoints_to_all_datapoints,3.19163917515653e-05,"[5.448250481173709e-07, 1.3511718354702481e-05, 8.169263185187605e-05]",3
value_norm__percentage_of_reoccurring_values_to_all_values,3.19163917515653e-05,"[5.448250481173709e-07, 1.3511718354702481e-05, 8.169263185187605e-05]",3
value_norm__permutation_entropy__dimension_3__tau_1,0.0001270275272155,"[0.00026260310015534927, 5.1477802496637e-07, 0.00011162211642684348, 9.36899293419355e-06, 0.0001721330613579485, 0.0001247103626637402, 0.000192402781897853, 0.00014286502426341422]",8
value_norm__permutation_entropy__dimension_4__tau_1,0.0003136653834634,"[1.6309383570035588e-06, 0.00038699806927498456, 5.3669358265057016e-05, 0.00030075080690600774, 0.0006706389498625448, 0.0004683041781149529]",6
value_norm__permutation_entropy__dimension_5__tau_1,0.0004604015712241,"[8.053319926331027e-06, 0.0009402351842906093, 7.982297722471983e-05, 0.0008134948034547924]",4
value_norm__permutation_entropy__dimension_6__tau_1,0.0002309373149655,"[1.9343828943935826e-05, 8.521286621319213e-05, 0.0005882552497394981]",3
value_norm__permutation_entropy__dimension_7__tau_1,0.0001592022627611,"[3.859894887805783e-05, 6.999517609233801e-05, 0.00036901266331297003]",3
value_norm__quantile__q_0.1,8.778239780947484e-05,"[2.279605341874671e-05, 0.0001881955806481972, 5.235555936148062e-05]",3
value_norm__quantile__q_0.7,0.0002522329590281,"[0.0004231442943275002, 8.132162372884459e-05]",2
value_norm__quantile__q_0.9,7.406122362174629e-05,"[0.00015086750812133305, 5.339876905066679e-05, 1.7917393693239025e-05]",3
value_norm__ratio_beyond_r_sigma__r_0.5,0.001060836407624,"[0.0009842787869894746, 0.0011373940282586432]",2
value_norm__ratio_beyond_r_sigma__r_2.5,0.0003738455922941,"[0.00039794245952474685, 0.00032502503122414415, 0.0003985692861335606]",3
value_norm__ratio_beyond_r_sigma__r_3,0.0001736948984232,[0.00017369489842328952],1
value_norm__ratio_value_number_to_time_series_length,3.19163917515653e-05,"[5.448250481173709e-07, 1.3511718354702481e-05, 8.169263185187605e-05]",3
value_norm__sample_entropy,0.0002629096681833,"[0.0003956460973835341, 0.0003989412851297698, 0.00011216933002352663, 0.0001448819601964427]",4
value_norm__skewness,4.586653579640261e-05,[4.586653579640261e-05],1
value_norm__spkt_welch_density__coeff_2,0.0001510361298082,"[6.209317167155153e-05, 0.0002399790879449135]",2
value_norm__spkt_welch_density__coeff_5,0.0001444490468215,"[9.326564807831961e-09, 0.0003752364998274091, 0.00030089482991005096, 7.318404368811969e-06, 0.00013463676896353382, 0.00019248598455731862, 5.615135591864613e-07]",7
value_norm__spkt_welch_density__coeff_8,0.0001781193735377,"[1.065310405234932e-05, 0.00034558564302320167]",2
value_norm__sum_of_reoccurring_data_points,0.0001865033675058,"[0.00013932704066558737, 0.00023367969434613835]",2
